,respondent,task,interval,time,company,purpose,detail,description,PQ1,ATT1,PQ2,HQ1,PQ3,HQ2,HQ3,ATT2,PQ4,HQ4,familiarity
259,4,2,5s,96.0,i care,"glasses, sports glasses, sunglasses",3,"picture of families and vacation locations. advertising sunglasses, sports glasses etc",6.0,6.0,6.0,5.0,5.0,4.0,4.0,4.0,4.0,6.0,False
260,4,3,5s,61.0,hill sport,sports gear,tiger ,i found it to have a lot going on so hard to remember ,3.0,6.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,5.0,False
261,4,4,5s,424.0,weathery,news about the weather ,everyday ,unsure ,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,False
262,4,5,5s,67.0,mega zoo,food?,i dont remember much of this ,colourful,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,False
263,4,6,5s,128.0,techlive,"too complicated, alot going on",unsure ,"there was too much going on, too much writing. hard to take anything in",2.0,2.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,False
264,5,1,5s,118.0,whistles,sustainable fashion for men women and kids,giraffe,the web page had three people a women and a child and a man in bright clothing. it had a company name in white writing with blue background called whistles and it said ti sold sustainable clothing,4.0,3.0,5.0,4.0,5.0,4.0,3.0,5.0,6.0,3.0,False
265,5,2,5s,104.0,I-CARE,eyewear contact lenses sunglasses,3,it had 3 main boxes at the bottom of the web page one for contact lenses one for sunglasses and one for eye wear. it featured people including children and had the company name I-CARE at the top of the page,4.0,3.0,5.0,3.0,4.0,2.0,2.0,3.0,3.0,3.0,False
266,5,3,5s,105.0,hilsport,clothing,don't recall,it was a very ugly website with a large leopard or big cat as the main image and it was laid out in a confusing way and hard to look at due to a mix of fonts and colours,2.0,1.0,2.0,1.0,4.0,1.0,2.0,2.0,1.0,1.0,False
267,5,4,5s,75.0,weathery,weather information,don't recall this,blue and white website design with cheap looking graphics. tabs across the top for radar information and weather reports,3.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,False
268,5,5,5s,149.0,mega zoo,pet supplies,dog bone,I saw a page with a large cardboard box the website was messy and hard to look at. there were three products in boxes at the bottom of the page and the colours were horrible.,3.0,1.0,5.0,3.0,5.0,3.0,2.0,2.0,4.0,3.0,False
269,5,6,5s,120.0,TECH-LIVE,news articles,power station,it was a website that was white and black and had a lot of possible links to other articles laid out in a sort of news style setting. it was clean and functional and looked very simple,6.0,6.0,7.0,6.0,5.0,5.0,4.0,5.0,6.0,4.0,False
270,6,1,5s,95.0,Whistles,"Sells mens, womens, and childrens clothes",Bear,"It was simple, stylish, easy to navigate, not busy webpage enabling you to shop clothes online. Weird logo though - seemed not connected to the website",7.0,7.0,7.0,7.0,5.0,6.0,6.0,7.0,7.0,4.0,False
271,6,2,5s,62.0,Eye care,contact lenses and glasses,4,"Clear, smiley people wearing sunglass. Not much going on",7.0,7.0,6.0,5.0,6.0,3.0,4.0,4.0,6.0,4.0,False
272,6,3,5s,78.0,Not sure,outdoorsy shoes and clothes,2020,"Big animal, a bit too much and scary, offers, clear menu of options",5.0,3.0,6.0,2.0,4.0,4.0,5.0,4.0,3.0,3.0,False
273,6,4,5s,82.0,Weatherly,Provides weather information and prognosis,Not sure,"Had a map of areas with weather indicated, prognosis for Prague, natural blue colours",6.0,5.0,6.0,5.0,4.0,4.0,6.0,6.0,6.0,6.0,False
274,6,5,5s,70.0,mini Zoo,Animal food and accessories,cat?,"A lot going on, a lot of picures and text, only thing I can remember is pick up in branch or deliver",2.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0,2.0,4.0,False
275,6,6,5s,49.0,Techlife,Looks like an online magazine,Not sure,A bunch of articles,2.0,3.0,2.0,4.0,6.0,3.0,2.0,3.0,3.0,4.0,False
276,7,1,5s,99.0,whistles,kids clothing,sheep,"different sections for different types of clothing, clothing for boys and girls",6.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,False
277,7,2,5s,121.0,i-care,provides glasses and contact lenses,2,website advertising about being ready for a vacation in order to make customers aware of their products made for sunlight ,6.0,6.0,6.0,5.0,5.0,6.0,5.0,6.0,7.0,5.0,False
278,7,3,5s,149.0,hillsport,"sells clothing for hiking, mounting climbing and other extreme sports and activities",not sure,"large options for categories to navigate, offering different items to sell for different needs",5.0,5.0,5.0,4.0,4.0,6.0,4.0,5.0,4.0,4.0,False
279,7,4,5s,123.0,weathery,provides news about the weather in different locations ,not sure,a map with areas showing the estimated temperature and weather conditions,6.0,5.0,6.0,5.0,6.0,3.0,4.0,6.0,6.0,4.0,False
280,7,5,5s,176.0,Mega Zoo,provides toys and food supplies for pets,paw and circle,"looked like a website where you could buy treats, food and toys for pets. it had a list you could scroll through and subheadings",7.0,7.0,7.0,5.0,6.0,4.0,4.0,7.0,7.0,4.0,False
281,7,6,5s,145.0,tech-life,provides news on the latest gadgets and technology being developed and used,power plant,"and article style layout, a few pictures indicating what the site might have been about",3.0,2.0,4.0,3.0,6.0,5.0,3.0,4.0,3.0,1.0,False
282,8,1,5s,121.0,Whistles,"Clothes, sustainable fashion for everyone. ",Hedghog,"Whistles, sustainable clothes. Quite neutral colours. A mens sections with a man picture, womens and childrens the same at the bottom. ",7.0,6.0,5.0,5.0,5.0,4.0,4.0,5.0,6.0,4.0,False
283,8,2,5s,110.0,i-care,Eye things and holiday things,2,"A beach picture. A bright white page. Fresh, not many things to select. ",7.0,7.0,6.0,6.0,4.0,4.0,4.0,5.0,7.0,4.0,False
284,8,3,5s,109.0,Hillsport,Outdoor walking/sports equipment,I do not recall,"It was like an outdoor sports website, there was a lion or tiger as a logo I think. Some sections like footwear at the bottom",6.0,6.0,6.0,5.0,5.0,5.0,4.0,6.0,6.0,4.0,False
285,8,4,5s,90.0,Weathery,The weather information,Thursday,A pretty normal looking weather website. Info of the day. A side section with info of the week. An article about an iceberg. ,6.0,4.0,6.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,False
286,8,5,5s,104.0,mega zoo,Pet products,Paw prints?,"A website for pets/products. Quite colourful, banners at the top. ",6.0,4.0,6.0,4.0,5.0,4.0,4.0,5.0,6.0,4.0,False
287,8,6,5s,138.0,I don't recall 5 seconds is quick!,"Information website, news media, most read on the right hand side. ",I remember seeing a shocked woman,"It was a website for information, news pages. Most read on the right hand side. some big articles in the middle. and lots n the left hand side too.",3.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,False
288,9,1,5s,99.0,Whistles,Sustainable fashion for everyone,A paw print?,"At the top there was a small logo. Furtherdown were pictures of a child, a woman, and a man wearing the brand's clothes. ",6.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,False
289,9,2,5s,94.0,iCare,Glasses and eyewear,two,"It featured a prominent headline of summer offers, with a photograph of a family on the beach on the left-hand side. Below, there were three photoboxes advertising different categories, such as sunglasses.",5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,False
290,9,3,5s,129.0,Hill Sport,Mountaineering and sports items/clothing,Don't know,"There is a big picture of a snow leopard in the foreground, with a woman running up a mountain in the background. Below are three more images with text to click on, featuring the different categories of products.",5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,False
291,9,4,5s,110.0,Weathery,It is a weather forceasting website.,Thursday,"It is a weather forecasting website. It includes the forecast of a given day as well as coming days, using typical symbols of forecasting including clouds and suns. These use up a significant part of the screen.",5.0,5.0,5.0,4.0,5.0,2.0,4.0,5.0,3.0,5.0,False
292,9,5,5s,136.0,MegaZoo,Pet food and pet related items,Don't know,"It's a store of pet-related items. At the top, it featured a horizontal bar of  categories, including cat, dog, small mammal, etc. Further down, it featured specific products and their prices as well. ",5.0,3.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0,4.0,False
293,9,6,5s,102.0,TechLive,News of tech,A picture of a white structre,"ON the sidebar there were several blocks of text, presumably of different articles. In the middle there was a headline and picture. Further down there were smaller pictures each relating to a specific article. ",3.0,3.0,5.0,4.0,5.0,2.0,2.0,3.0,2.0,2.0,False
294,10,1,5s,105.0,Whistles,Pyjamas,Giraffe - but not sure,"pyjama website with designs for men, women and children, the designs looked quite fun and engaging, almost child-like/cartoonish in design. ",6.0,6.0,6.0,5.0,6.0,5.0,4.0,6.0,7.0,5.0,False
295,10,2,5s,93.0,Icare ,Eye care products ,"1 or 2,  but I can't recall. ","different eye care products, slightly misleading as I initially thought this website was about holidays. I'd guess the products are things like contact lenses, sunglasses maybe. ",2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,False
296,10,3,5s,75.0,hillsport,outdoor gear,"a picture of a large cat, leopard potentially. ","selling outdoor gear, coats, backpacks etc ",6.0,6.0,5.0,4.0,6.0,4.0,3.0,6.0,6.0,4.0,False
297,10,4,5s,76.0,Weathery,Weather forecast ,Not sure but Tuesday or Thursday,"weather map with weather conditions and forecast, I believe the forecast was rain and clouds. ",4.0,3.0,3.0,3.0,5.0,2.0,2.0,3.0,4.0,4.0,False
298,10,5,5s,130.0,Megazoo ,"animal products, feed i believe ","I'm not sure, I'd guess a parrot. ","website selling animal product, I believe it was feed. I can recall the headings across the top with the different animals listed. ",3.0,3.0,2.0,3.0,2.0,2.0,5.0,4.0,3.0,6.0,False
299,10,6,5s,85.0,tech live,tech news,I don't recall - I think an article about batteries was the most dominant thing I remember ,"Website on tech news, main central column, two subordinate columns to the right and left with other news stories. ",1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False
300,11,1,5s,128.0,Whistles,"Clothing, for children, men and women",Cat,"The website wasn't crowded with information, very simply showing that it sells clothing for men, women and children.",6.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,False
301,11,2,5s,103.0,Icare,Corrective Eyeware,2,"The website contained information for glasses, sun glasses and contact lenses. ",5.0,5.0,5.0,5.0,4.0,5.0,6.0,6.0,5.0,5.0,False
302,11,3,5s,144.0,Hill sport,Outdoors equipment,Don't recall,"The website was relating to outdoors activities, there was a tiger/lion in the large picture and 2 people hiking next to it. The bottom of the page showed the products that they were selling. I wasn't sure of the relevance of the tiger/lion at a glance.",5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,5.0,6.0,False
303,11,4,5s,116.0,Weathery,Weather forecasting,Don't recall,"The website had quite a lot of information to take in, there was a lot of weather symbols and an orange banner top right regarding rain.",3.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,4.0,5.0,False
304,11,5,5s,108.0,Megazoo,Pet supplies,Don't recall,"I wasn't able to take much in from the page, there was a lot of things to look at but I grasped that the overall theme was pets.",3.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,False
305,11,6,5s,126.0,Tech Live,News articles,Batteries,"The website was laid out similar to other news websites, I recognised the layout even though I have never visited this site. There was an article top right relating to finances and the main article in the foreground was relating to a batter plant.",5.0,5.0,5.0,6.0,6.0,5.0,5.0,5.0,6.0,5.0,False
306,12,1,5s,125.0,whistles,sustainable fashion,bear,"Minimalist design, sans serif typography, neutral colours. Simple landing page with few options ",5.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,False
307,12,2,5s,97.0,Icare,sunglasses and contacts ,2,"Simple layout, predominant colour is blue, lot's of different people are being featured in the different options.",3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,False
308,12,3,5s,134.0,hillsport ,outdoors clothing and other essentials ,2021,Landing page with large emphasis on a cheetah image that takes your attention away from the rest of the website ,4.0,2.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,1.0,False
309,12,4,5s,94.0,weathery,weather ,Tuesday,Large image with the weather for that given day. and several other options to see other things. Blue is predominant throughout the landing page,2.0,1.0,5.0,4.0,7.0,5.0,2.0,4.0,4.0,2.0,False
310,12,5,5s,117.37,mega zoo,animal supplies,food ,Yellow and red are the predominant colours. Lot's of eye-catching elements in the same section making it hard to read and figure out what is going on. ,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,False
311,12,6,5s,194.0,Tech,news ,building,"Lots of news columns, central column takes up most of the page, has an image for each article. Other columns are made up of headlines that have no illustrative component ",2.0,1.0,1.0,3.0,6.0,1.0,1.0,1.0,2.0,2.0,False
312,14,1,5s,55.0,Whistles,Clothes,Hedgehog,Well made fashion site,6.0,6.0,6.0,6.0,5.0,5.0,4.0,5.0,5.0,5.0,False
313,14,2,5s,71.0,I-care,Eye services,4,Looked alright but not as professional,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,False
314,14,3,5s,71.0,Hillsport,can't remember,can't remember,"Was staring at the tiger, very attention grabbing",4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,False
315,14,4,5s,57.0,Weathery,Weather updates,Thursday,Looked clear and simple,6.0,6.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,False
316,14,5,5s,63.0,Megazoo,Animal stuff,Can't remember,Looked colourful but profesional,5.0,6.0,5.0,5.0,4.0,6.0,5.0,5.0,5.0,5.0,False
317,14,6,5s,52.0,Tech Live,News,Building,Too may words and looked crowded,3.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,False
318,15,1,5s,148.0,whistles,children and adults clothing,fox,it was a minimalist looking website.  The clothes on sale appeared to be pyjamas for kids and adults.  They appeared to be reasonably priced.,6.0,6.0,6.0,6.0,4.0,5.0,5.0,6.0,6.0,5.0,False
319,15,2,5s,89.0,I care,Opticians,2,"Options to purchase glasses, sunglasses and contact lenses.",6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,False
320,15,3,5s,87.0,Hill Sport,Outdoor clothing,2020,An animal in the largest photo.  Promoting a sale.,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False
321,15,4,5s,90.0,Weathery,Weather Forecast,Wednesday,Weather information for Czech Republic.,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False
322,15,5,5s,103.0,Mega Zoo,Animal Food,Dog,Products for animals.,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False
323,15,6,5s,109.0,Tech Live,Provides Articles,Coins,It looked like a news article website.  Many different articles to be had.,4.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,False
324,17,1,5s,147.0,Whistles,"It is a clothing store, selling clothes for men, women and children. ",I did not see any animals!,"I saw 3 sections for men, women's and children's clothing. I think there was some offer about free shipping until some date in July. The Whistles name was written in white, inside a blue box. There was an option to select diferent languages, and EN was selected. ",6.0,6.0,6.0,6.0,6.0,6.0,4.0,6.0,6.0,6.0,False
325,17,2,5s,142.0,i-care,I think it sells eyewear and provides eye examinations. ,I think there was only 1 child and 2 adults. ,"A family on a beach, blue sky, yellow sandy beach. I noticed the nearest store location is in Prague and you can book examinations online. ",5.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,6.0,6.0,False
326,17,3,5s,177.0,HillSport,It sells products to do wth hiking. ,I didn'tsee that. ,"I saw people hiking and at the bottom of of the scren I saw there was a section on backpacks. The site wasn't too bright or dull, I would ahve liked to spend more time looking at it. I recall that it wasn't overly busy and there were just a few different sections to look i.e. the backpack section, I think there was one for running too and 2 others. ",6.0,6.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,False
327,17,4,5s,168.0,Weathery,It provides weather forecasts. ,I think it said 'Today' in the top right hand corner. ,I noticed it was displaying the weather for Prague. There was a big blue box with clouds on and it had a forecast for the coming days. It was easily identifiable as a weather forecast site. ,5.0,5.0,7.0,4.0,6.0,4.0,5.0,6.0,6.0,6.0,False
328,17,5,5s,184.0,Mego Zoo,"Products for animals, like a pet store.",I think I saw a paw print. ,"Very colourful - at first i thought it was Mcdonalds because the colour scheme of yellow and red was very apparent, then I realised it was a pet store beciase I saw the water fountain and I have been thinking of getting one of those recently - that was my first indication it was a pet store. ",3.0,3.0,5.0,2.0,3.0,2.0,3.0,3.0,3.0,5.0,False
329,17,6,5s,225.0,Tech Live (I think),"I think it is like a newspaper, geared toward the schience and technology community. ",I saw a lady looking in shock at something (maybe a phone or a tablet). ,"There was so much text on the screen, with lots of little headlines, it was so busy that i didn't read any of the headlines properly, just quickly scanned over the page. The image that sticks in my head is of the lady staring open mouthed at something. The oage had a white background, which was good given all of the text on the page ",1.0,5.0,4.0,4.0,3.0,5.0,3.0,4.0,5.0,4.0,False
330,18,1,5s,54.0,Whistles,Clothes,didnt notice,Links to Men/Female/Kids Clothes,6.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,False
331,18,2,5s,66.0,I Care,Glasses,1,A website selling glasses.,5.0,5.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,False
332,18,3,5s,64.0,hill sport,Climbing Gear,no idea,2 walkers on a hill.,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,False
333,18,4,5s,64.0,Weathery,Weather Forecasts,Didn't see,Big weather map.,4.0,3.0,6.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,False
334,18,5,5s,74.0,Mega Zoo,Not sure.,Didn't notice,there was 4 random featured products ,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,False
335,18,6,5s,49.0,Tech-Live,Tech Blog,Factory Building,Lots of news stories,3.0,3.0,5.0,4.0,5.0,4.0,3.0,4.0,4.0,3.0,False
336,19,1,5s,154.0,whistles,clothes,hedgehog ,it was a clothes site where you can purchases outfits for the family,7.0,4.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,4.0,False
337,19,2,5s,87.0,icare,eyewear,2,"a website that offers glasses, sunglasses and contact lenses presumably on prescription",7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,False
338,19,3,5s,177.0,hill sort,outdoor sports products,2020,i saw a black and white leopard in the main picture and a couple trekking in the back. it sells outdoor clothing and other products,7.0,4.0,7.0,4.0,7.0,4.0,4.0,7.0,7.0,4.0,False
339,19,4,5s,127.0,Weatherly,provides weather information,thursday,it looked like a weather forecasting website,7.0,4.0,7.0,4.0,7.0,4.0,4.0,7.0,7.0,4.0,False
340,19,5,5s,217.0,mega zoo,"looks like a site that sells food/products for animals, i saw a sign saying 'pick up online or at our branch'",dog bones,looks like somewhere where you can buy food/animal/pet products,7.0,7.0,7.0,7.0,7.0,4.0,7.0,7.0,7.0,7.0,False
341,19,6,5s,165.0,Live Tech,a site that provides information for tech,Electricity plant,"main article was to do with energy, so i think its to do with technology",7.0,4.0,7.0,4.0,7.0,4.0,7.0,7.0,7.0,4.0,False
342,20,1,5s,118.0,whistles,sustainable fashion,"just remember hearts, no animals","pastel yellow and navy blue, photos of child, man, woman, in pastel clothes",7.0,5.0,7.0,4.0,7.0,5.0,4.0,4.0,7.0,3.0,False
343,20,2,5s,121.0,I-care,glasses and contact lenses,2,"blue and white colour scheme, people with glasses / sunglasses, sunny pictures, fresh, summery looking",6.0,7.0,4.0,5.0,7.0,5.0,4.0,6.0,7.0,6.0,False
344,20,3,5s,123.0,hill sport,running / hiking gear,no idea,"white / blue / red colour scheme, couple running up hill, cat logo, big cat picture",7.0,6.0,7.0,6.0,7.0,6.0,4.0,6.0,7.0,4.0,False
345,20,4,5s,100.0,weathery,weather forecasts,no idea,"blue / white colour scheme, weather maps, weather photos, weather forecast calendars",7.0,6.0,7.0,6.0,7.0,5.0,4.0,7.0,7.0,4.0,False
346,20,5,5s,122.0,mega zoo,pet products,no idea,"yellow and red colour scheme, pics of animals and animal products",7.0,5.0,7.0,4.0,7.0,4.0,4.0,5.0,7.0,4.0,False
347,20,6,5s,119.0,tech-live,news about technology,beach?,"mostly tech stories / headlines, very black and white",7.0,4.0,7.0,4.0,7.0,4.0,3.0,5.0,7.0,3.0,False
348,21,1,5s,93.0,wistles,pijamas,don't know,a boring e-commerce,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,5.0,2.0,False
349,21,2,5s,85.0,I-Care,lenses - eye care,1,it looked like a holiday resort advert,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,False
350,21,3,5s,107.0,hill sport,trekking sportwear,don t know,quite banal,4.0,4.0,3.0,3.0,5.0,2.0,3.0,4.0,4.0,3.0,False
351,21,4,5s,112.0,weathery,weather report,don't know,it is a clean and fresh page with light colors,6.0,5.0,6.0,4.0,6.0,5.0,4.0,6.0,5.0,4.0,False
352,21,5,5s,82.0,mega zoo,animal food and tools,dog paw,hard to remember,4.0,4.0,3.0,5.0,4.0,3.0,5.0,5.0,2.0,4.0,False
353,21,6,5s,126.0,tech live,technology info,factory,"loads of information on a pre dominant white background , small fixed dimensions make thing hard to read and recall",4.0,3.0,2.0,3.0,4.0,3.0,3.0,3.0,3.0,4.0,False
354,22,1,5s,277.0,Whistle,Clothes/fashions for evrryone-looked like pyjamas etc  for all ages. Generally yellow in colour scheme and aimed at families i think.,Hedgehog,"Small ""Whistles"" logo in top left (scrolled font) then 3 images of man,woman and young girl. in casual light yellow informal clothing. Girl had a hedgehog on her front and was smiling pleasently. Man was leaning to his left and a casual expression.",6.0,4.0,6.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,False
355,22,2,5s,205.0,I Care,Items ready for you to use on holiday,2,"Family of 4 smiling laying down on golden sand, some with sunglasses on. People were in a row of big (man) to small (youngest child). Underneath were 4 images of goods on offer (one was suncream and another sunglasses?)Logo top left.",6.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,False
356,22,3,5s,279.0,Hills Sport,Outdoor clothing and accessories,Modern era-didn't get a date if there was one!,Hi res full colour image of fell runners running up the side of a mountain in modern outdoor gear. Think there was images of some of the gear on offer-shoes/outdoor clothes. To the left was a leopard image (full face) which was greyscale and contrasted with the colour photo at the back.,2.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,False
357,22,4,5s,184.0,Weathery,Shows the weather forecast,Thursday?,Weathery logo at the top. Forecast for the days of the week in clickable graphics at the bottom in a row (blue with traditional weather symbols). Weather for a particular region on an area map is the main image central with temp and symbols on),3.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,False
358,22,5,5s,229.0,Meg Zoo,"Selling something within 60 minutes, think it was food,possibly walnuts",Didn't get,"Large text graphics, large images on plain backgrounds, red dial type clock graphic with either 60 mins or seconds in text. White background made it easy to see.",6.0,4.0,6.0,3.0,6.0,2.0,2.0,4.0,6.0,2.0,False
359,22,6,5s,277.0,Tech Live,Something to do with providing tech knowledge maybe for computer building.,A series of similar looking buidings that looked like generators or modern white warehouses.,"Simple block like font without logo (Tech Live). Down left was a series of news items that could be clicked on and opened for reading. Main picture was  white buildings (3 I think ,each in a horse shoe shape, possible in a desert setting)",3.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,False
360,25,1,5s,114.0,Whistles,"Clothing for men, women and children",bear,"Website has clothes for everyone with section for each person you are looking for, bright and appealing colour usage",5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,False
361,25,2,5s,127.0,I-Care,Eye care products,3,"Shows eye care products promoting a good life with the family, made up of sections including eye Lense",5.0,5.0,6.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,False
362,25,3,5s,297.0,Hill sport,Sportswear,Snow Leopard,"Webpage for sportswear, mainly for outdoor, mountain climbing ",4.0,6.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,False
363,25,4,5s,115.0,Weathery,About the weather,today,Shows the weather predictions,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,6.0,False
364,25,5,5s,194.0,Mega Zoo,Bright website home products,not sure,very bright yellow block colour at top with products underneath,5.0,3.0,5.0,3.0,3.0,2.0,5.0,4.0,6.0,5.0,False
365,25,6,5s,123.0,Tech Live,Batteries are not only energy source ,Pivture of a building,"About energy source, alot of wording",2.0,3.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,False
366,26,1,5s,70.0,Whistles,Clothes,didn't notice,"Simple website selling clothes for men, women and kids",6.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0,6.0,4.0,False
367,26,2,5s,62.0,I Care,sunglasses and glasses,0,"Website selling glasses, contact lenses and sunglasses",5.0,5.0,5.0,6.0,4.0,6.0,5.0,5.0,6.0,5.0,False
368,26,3,5s,75.0,Hillsport,backpacks and running shoes,didn't notice,Clean design with a snow leopard picture as well as people hiking,5.0,6.0,5.0,6.0,5.0,5.0,5.0,6.0,5.0,6.0,False
369,26,4,5s,67.0,Weathery,Weather advice and forecasts,Didn't notice,Different sections for weather news and forecasts,3.0,4.0,6.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0,False
370,26,5,5s,97.0,Mega Zoo,Pet products,dog paws,Yellow and black color scheme. Big section in the center describing how you can order online or pick up from a local branch,3.0,5.0,5.0,6.0,3.0,5.0,6.0,5.0,3.0,6.0,False
371,26,6,5s,71.0,Tech Live,Tech news,Didn't notice,Tech news website with many sections for different types of tech news,2.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,2.0,3.0,False
372,27,1,5s,121.0,Whistles,Clothing,Giraffe,"Pictures - including man woman and child
Looks professional
Stylish
Was not too bright and colourful",6.0,6.0,6.0,7.0,5.0,7.0,6.0,6.0,7.0,7.0,False
373,27,2,5s,116.0,I Care,Contact lenses,2,"Large images
Not much text
Plain
",6.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,6.0,4.0,False
374,27,3,5s,100.0,Hillsport,Dont know,Dont know,"Large picture
Very little text
Was not obvious what the website was for
",4.0,5.0,4.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,False
375,27,4,5s,143.0,Weathery,Details about the weather ,I do not know,"Illustrations
Dropdown menus
Various text
",5.0,4.0,6.0,4.0,6.0,4.0,3.0,4.0,6.0,4.0,False
376,27,5,5s,91.0,Mega Zoo,Pet food,Someone holding a box,"Images and text
Colourful
Clearly shows what they are selling",5.0,5.0,6.0,5.0,4.0,5.0,6.0,5.0,6.0,5.0,False
377,27,6,5s,123.0,Tech Live,News,Unsure,"Very wordy
Pictures small
Not very intriguing
 ",5.0,3.0,5.0,3.0,4.0,3.0,3.0,3.0,5.0,3.0,False
378,28,1,5s,173.0,Whistles,"Sustainable fashion clothes for men, women and children",Not sure Guessing an elephant,"The page had 3 big pictures for mens, womens and child clothing so people can easily find the relevant clothes they are looking for. There was also a big picture above not sure exactly what it said. The design was blue and white i believe. Blue on the header or title or logo.",7.0,6.0,7.0,4.0,5.0,5.0,6.0,6.0,7.0,6.0,False
379,28,2,5s,608.0,I-care,Glasses and contact lenses and sunglasses aimed at people going on holiday with seemingly a holiday sale i think.,2 kids two adults i think,Mostly 4 dominant pictures one of them was the big summer holiday advert and the bottom was the different categories of products the website offered.,7.0,5.0,6.0,3.0,2.0,3.0,2.0,3.0,3.0,2.0,False
380,28,3,5s,102.0,Hillsport,"Backpacks and hiking gear, shoes etc",A big wild cat and Landscape,"I saw sports and hiking clothing 4 different sections of clothing at the bottom to easily find what you are looking for, and a very sports themed site matching the brand extremely well.",4.0,7.0,7.0,6.0,6.0,6.0,7.0,6.0,7.0,6.0,False
381,28,4,5s,184.0,Weathery,It provides weather forecasts,Unsure,"It was white and blue, had a relatively outdated look and seemed like it needed a refresh in design. Felt somewhat cheap because of its outdated look. It had the weather map in the left and some further forecasts on the right hand side.",4.0,3.0,3.0,2.0,5.0,2.0,3.0,3.0,6.0,3.0,False
